onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.035	2	0.718	-0.512	0.718	10	positive	futuristic	romance	29	negative	futuristic	action
13.133	0.000	self	1.359	2	0.512	-0.718	0.512	2	positive	historical	romance	24	negative	historical	action
20.600	0.000	self	0.683	1	0.718	0.718	-0.512	29	negative	futuristic	action	11	positive	futuristic	romance
30.050	0.000	self	1.457	2	-0.325	-0.718	-0.325	4	positive	historical	romance	20	negative	historical	romance
37.617	0.000	self	0.734	1	0.512	0.512	0.325	24	negative	historical	action	13	positive	futuristic	action
47.267	0.000	self	1.077	1	0.718	0.718	0.119	31	negative	futuristic	action	5	positive	historical	action
56.183	0.000	self	1.201	1	-0.512	-0.512	-0.718	11	positive	futuristic	romance	4	positive	historical	romance
64.783	0.000	self	0.829	2	0.718	0.325	0.718	13	positive	futuristic	action	29	negative	futuristic	action
74.033	0.000	self	0.776	2	0.718	-0.119	0.718	28	negative	futuristic	romance	29	negative	futuristic	action
81.100	0.000	self	1.660	1	-0.325	-0.325	-0.512	19	negative	historical	romance	10	positive	futuristic	romance
90.683	0.000	self	0.819	2	0.512	0.325	0.512	16	positive	futuristic	action	23	negative	historical	action
100.017	0.000	self	0.864	1	0.718	0.718	0.119	29	negative	futuristic	action	5	positive	historical	action
109.683	0.000	self	0.971	1	0.718	0.718	0.512	31	negative	futuristic	action	24	negative	historical	action
117.750	0.000	self	1.103	2	0.119	0.325	0.119	13	positive	futuristic	action	8	positive	historical	action
125.983	0.000	self	1.134	1	-0.325	-0.325	-0.119	20	negative	historical	romance	26	negative	futuristic	romance
135.250	0.000	self	0.899	1	0.325	0.325	-0.512	16	positive	futuristic	action	11	positive	futuristic	romance
144.567	0.000	self	0.864	2	0.718	-0.718	0.718	2	positive	historical	romance	31	negative	futuristic	action
154.483	0.000	self	0.794	2	0.325	-0.512	0.325	10	positive	futuristic	romance	16	positive	futuristic	action
162.283	0.000	self	1.457	2	-0.512	-0.718	-0.512	4	positive	historical	romance	10	positive	futuristic	romance
170.150	0.000	self	0.790	1	0.325	0.325	-0.718	16	positive	futuristic	action	4	positive	historical	romance
177.550	0.000	self	1.760	1	-0.119	-0.119	-0.325	28	negative	futuristic	romance	20	negative	historical	romance
184.783	0.000	self	2.172	1	-0.512	-0.512	-0.718	10	positive	futuristic	romance	2	positive	historical	romance
194.700	0.000	self	0.823	1	0.718	0.718	-0.325	29	negative	futuristic	action	20	negative	historical	romance
202.133	0.000	self	0.973	1	0.325	0.325	0.512	16	positive	futuristic	action	24	negative	historical	action
210.117	0.000	self	0.930	1	0.119	0.119	-0.512	8	positive	historical	action	11	positive	futuristic	romance
220.017	0.000	self	1.350	2	0.718	0.119	0.718	8	positive	historical	action	29	negative	futuristic	action
227.100	0.000	self	1.267	1	-0.325	-0.325	-0.718	19	negative	historical	romance	4	positive	historical	romance
234.467	0.000	self	1.105	1	-0.119	-0.119	-0.718	28	negative	futuristic	romance	2	positive	historical	romance
